Year,Planning Area,Age Range,Value
2015,Yishun,0-24,57460
2015,Yishun,25-59,112840
2015,Yishun,60+,31670
2020,Ang Mo Kio,0-24,34700
2020,Ang Mo Kio,25-59,79620
2020,Ang Mo Kio,60+,47940
2020,Bedok,0-24,64210
2020,Bedok,25-59,137550
2020,Bedok,60+,75230
2020,Bishan,0-24,20700
2020,Bishan,25-59,43480
2020,Bishan,60+,23180
2020,Boon Lay,0-24,0
2020,Boon Lay,25-59,0
2020,Boon Lay,60+,0
2020,Bukit Batok,0-24,40810
2020,Bukit Batok,25-59,83830
2020,Bukit Batok,60+,33440
2020,Bukit Merah,0-24,31890
2020,Bukit Merah,25-59,74970
2020,Bukit Merah,60+,44430
2020,Bukit Panjang,0-24,38100
2020,Bukit Panjang,25-59,72290
2020,Bukit Panjang,60+,27920
2020,Bukit Timah,0-24,22470
2020,Bukit Timah,25-59,37370
2020,Bukit Timah,60+,18030
2020,Central Water Catchment,0-24,0
2020,Central Water Catchment,25-59,0
2020,Central Water Catchment,60+,0
2020,Changi,0-24,630
2020,Changi,25-59,970
2020,Changi,60+,290
2020,Changi Bay,0-24,0
2020,Changi Bay,25-59,0
2020,Changi Bay,60+,0
2020,Choa Chu Kang,0-24,56020
2020,Choa Chu Kang,25-59,103240
2020,Choa Chu Kang,60+,32830
2020,Clementi,0-24,21860
2020,Clementi,25-59,45440
2020,Clementi,60+,24730
2020,Downtown Core,0-24,490
2020,Downtown Core,25-59,2100
2020,Downtown Core,60+,630
2020,Geylang,0-24,23620
2020,Geylang,25-59,56510
2020,Geylang,60+,30010
2020,Hougang,0-24,54570
2020,Hougang,25-59,117500
2020,Hougang,60+,55540
2020,Jurong East,0-24,17880
2020,Jurong East,25-59,39070
2020,Jurong East,60+,21640
2020,Jurong West,0-24,72080
2020,Jurong West,25-59,139130
2020,Jurong West,60+,51550
2020,Kallang,0-24,21020
2020,Kallang,25-59,51240
2020,Kallang,60+,29050
2020,Lim Chu Kang,0-24,30
2020,Lim Chu Kang,25-59,40
2020,Lim Chu Kang,60+,30
2020,Mandai,0-24,590
2020,Mandai,25-59,1100
2020,Mandai,60+,440
2020,Marina East,0-24,0
2020,Marina East,25-59,0
2020,Marina East,60+,0
2020,Marina South,0-24,0
2020,Marina South,25-59,0
2020,Marina South,60+,0
2020,Marine Parade,0-24,11510
2020,Marine Parade,25-59,22560
2020,Marine Parade,60+,12190
2020,Museum,0-24,110
2020,Museum,25-59,350
2020,Museum,60+,80
2020,Newton,0-24,2200
2020,Newton,25-59,4390
2020,Newton,60+,1670
2020,North-Eastern Islands,0-24,0
2020,North-Eastern Islands,25-59,0
2020,North-Eastern Islands,60+,0
2020,Novena,0-24,12350
2020,Novena,25-59,25250
2020,Novena,60+,11740
2020,Orchard,0-24,230
2020,Orchard,25-59,480
2020,Orchard,60+,210
2020,Outram,0-24,3410
2020,Outram,25-59,8810
2020,Outram,60+,6140
2020,Pasir Ris,0-24,41740
2020,Pasir Ris,25-59,78800
2020,Pasir Ris,60+,26570
2020,Paya Lebar,0-24,0
2020,Paya Lebar,25-59,0
2020,Paya Lebar,60+,0
2020,Pioneer,0-24,0
2020,Pioneer,25-59,0
2020,Pioneer,60+,0
2020,Punggol,0-24,58280
2020,Punggol,25-59,96360
2020,Punggol,60+,19840
2020,Queenstown,0-24,21200
2020,Queenstown,25-59,48170
2020,Queenstown,60+,26560
2020,River Valley,0-24,2560
2020,River Valley,25-59,5650
2020,River Valley,60+,1900
2020,Rochor,0-24,2430
2020,Rochor,25-59,6710
2020,Rochor,60+,3990
2020,Seletar,0-24,100
2020,Seletar,25-59,160
2020,Seletar,60+,50
2020,Sembawang,0-24,30950
2020,Sembawang,25-59,56990
2020,Sembawang,60+,14680
2020,Sengkang,0-24,76710
2020,Sengkang,25-59,134780
2020,Sengkang,60+,37860
2020,Serangoon,0-24,26800
