Year,Region,Gender,Category,Attribute,Value
1/1/2020,WEST REGION,,income_from_work,sgd_12000_over,0
1/1/2000,EAST REGION,male,age_group,age_35_39,34350
1/1/2000,NORTH REGION,,language_literate,l1_non_off,427
1/1/2010,NORTH REGION,,language_spoken_at_home,mand_eng,0
1/1/2010,CENTRAL REGION,female,age_group,age_5_9,22250
1/1/2010,NORTH REGION,,language_spoken_at_home,eng_chn_dlt,0
1/1/2000,NORTH-EAST REGION,,language_spoken_at_home,eng_mand,0
1/1/2015,NORTH REGION,female,age_group,age_50_54,21630
1/1/2020,EAST REGION,male,age_group,age_65_69,20940
1/1/2010,NORTH REGION,,industry,construction,16327
1/1/2015,WEST REGION,female,age_group,age_85_over,4350
1/1/2000,NORTH-EAST REGION,,household_income,sgd_5000_to_5999,12984
1/1/2010,WEST REGION,,income_from_work,sgd_8000_to_8999,
1/1/2020,NORTH REGION,female,ethnic_distribution,malays,61440
1/1/2000,WEST REGION,,religion,catholic_christian,18073
1/1/2010,WEST REGION,,income_from_work,,
1/1/2015,NORTH-EAST REGION,,income_from_work,sgd_6000_over,
